	glyph	ASCII_code	width	height	darkness	CMDS1	CMDS2
0	 	32	10	15	0.0	-0.0008825766445040148	0.007777270731025504
1	!	33	10	15	0.05263157894736842	0.006346020143384664	0.024127315502564077
2	""""	34	10	15	0.05263157894736842	-0.013461307412371655	0.01600960831671435
3	#	35	10	15	0.14736842105263157	-0.08605394546918575	0.028229034291392476
4	$	36	10	16	0.15263157894736842	0.049933220740953	0.07078350869321702
5	%	37	10	15	0.1631578947368421	-0.10695218255402102	0.014171336931388563
6	&	38	10	15	0.15263157894736842	0.020363808040393762	-0.08083054027455924
7	'	39	10	15	0.02631578947368421	0.0025077171574007574	0.01461140677796304
8	(	40	10	18	0.09473684210526316	-0.05390635914904252	0.0250920493658461
9	)	41	10	18	0.09473684210526316	0.007506346782164503	0.06022373243917942
10	*	42	10	15	0.09473684210526316	0.022009110930081288	0.06075297813074836
11	+	43	10	15	0.07894736842105263	0.00472006258657411	0.04605979828073422
12	,	44	10	17	0.031578947368421054	0.002629020621467504	0.0050584408562858165
13	-	45	10	15	0.02631578947368421	-0.006624295048723733	0.012991637243284128
14	.	46	10	15	0.021052631578947368	0.0014572536363123571	0.004048777809283579
15	/	47	10	17	0.06842105263157895	-0.0075717279308578295	0.04040679302542811
16	0	48	10	15	0.16842105263157894	0.050987111996033174	-0.07814519236003735
17	1	49	10	15	0.1	0.024872001512591495	-0.000499563604814038
18	2	50	10	15	0.11578947368421053	0.05114865589739029	-0.0022527682313858793
19	3	51	10	15	0.12631578947368421	0.06085714702370435	0.008641164824784131
20	4	52	10	15	0.12631578947368421	-0.07843179550783655	0.012643212273222185
21	5	53	10	15	0.12105263157894737	0.05258452522023848	0.01762845487237672
22	6	54	10	15	0.11578947368421053	0.02856823766677974	-0.03274656108398643
23	7	55	10	15	0.08947368421052632	0.03286402412901937	0.034804464257909146
24	8	56	10	15	0.13157894736842105	0.05276577888686882	-0.026951134034891678
25	9	57	10	15	0.12631578947368421	0.05101579708950267	0.05106880558787644
26	:	58	10	15	0.042105263157894736	-0.006398879632431388	0.0032390061664438036
27	;	59	10	17	0.05263157894736842	-0.009111369532973854	0.004364168318227619
28	<	60	10	15	0.07894736842105263	-0.04012037790677891	0.01284153756574914
29	=	61	10	15	0.07368421052631578	-0.028617997190884214	0.018006028422010125
30	>	62	10	15	0.07894736842105263	-0.040316909682422984	0.025195118653933455
31	?	63	10	15	0.07368421052631578	0.0267540232848671	0.021055143667910992
32	@	64	10	18	0.21052631578947367	-0.0126037429190538	0.13659784549519813
33	A	65	10	15	0.12105263157894737	-0.05973323782703555	0.052693152798939685
34	B	66	10	15	0.1631578947368421	0.07768470623471346	-0.03902009572546313
35	C	67	10	15	0.12105263157894737	0.040646773307261366	-0.04288137348671639
36	D	68	10	15	0.14736842105263157	0.06227080420898314	-0.05523241749731692
37	E	69	10	15	0.1368421052631579	0.0635318364202343	0.025645722840200367
38	F	70	10	15	0.11052631578947368	0.04697163910556755	0.041408290863911394
39	G	71	10	15	0.14210526315789473	0.04770571710585304	-0.051231926924911665
40	H	72	10	15	0.14736842105263157	0.09543506792602709	-0.02429523790456686
41	I	73	10	15	0.12105263157894737	0.04767242902643049	0.030565338955192534
42	J	74	10	15	0.10526315789473684	0.045345801934030025	-5.219756125135956e-05
43	K	75	10	15	0.12105263157894737	0.008741172267897586	-0.07089766486567439
44	L	76	10	15	0.10526315789473684	0.019812992319162226	-0.04401288230082511
45	M	77	10	15	0.1631578947368421	-0.06506813363976276	0.07948456175342472
46	N	78	10	15	0.1631578947368421	-0.0038634467749023706	-0.10753306014459571
47	O	79	10	15	0.1368421052631579	0.0413264556425408	-0.06485852867199404
48	P	80	10	15	0.12631578947368421	0.06795476199648272	-0.022658470771108944
49	Q	81	10	17	0.1631578947368421	0.05177350897091919	-0.08377425065062859
50	R	82	10	15	0.15263157894736842	0.08486364930631865	-0.03632552230499026
51	S	83	10	15	0.1368421052631579	0.05857717223529586	-0.031073887363573496
52	T	84	10	15	0.14210526315789473	0.08498706975599027	0.009914154250831975
53	U	85	10	15	0.12631578947368421	0.022957032068579512	-0.07108660530603948
54	V	86	10	15	0.11052631578947368	-0.03788574393263532	0.06280258950273193
55	W	87	10	15	0.16842105263157894	-0.10731979108327061	-0.02684425311495663
56	X	88	10	15	0.11052631578947368	-0.024048568973796557	0.06604111551206479
57	Y	89	10	15	0.08947368421052632	-0.023627067560278818	0.04763836157033615
58	Z	90	10	15	0.13157894736842105	0.06833004371097053	0.017131092102559517
59	[	91	10	19	0.13157894736842105	0.07444605947157158	0.054781605750708375
60	\	92	10	17	0.06842105263157895	-0.018797803408922252	0.026963558432041967
61	]	93	10	19	0.13157894736842105	0.06937492241826886	0.06604816146233077
62	^	94	10	15	0.06842105263157895	-7.454655532420196e-05	-0.00973594300819333
63	_	95	10	18	0.042105263157894736	-0.004037350634788153	0.027062592358767498
64	`	96	10	15	0.021052631578947368	0.005122288167117474	0.010283886540023492
65	a	97	10	15	0.12631578947368421	-0.06359948009874772	-0.026225616776964267
66	b	98	10	15	0.1368421052631579	-0.05949409387783866	-0.04396924003255246
67	c	99	10	15	0.1	-0.019003703052274872	-0.03891420985358959
68	d	100	10	15	0.14210526315789473	-0.01807390575109309	-0.06899892415619965
69	e	101	10	15	0.13157894736842105	-0.040570850861184095	-0.05418582800054724
70	f	102	10	15	0.12631578947368421	-0.04961071113828462	-0.024524544273491992
71	g	103	10	18	0.15263157894736842	-0.04158039328464136	-0.07889198106418208
72	h	104	10	15	0.12631578947368421	-0.022838290660670144	-0.06949820198943718
73	i	105	10	15	0.1	-0.018659950606907102	-0.01797103564401863
74	j	106	10	18	0.11052631578947368	-0.071218533905847	0.022057469915847876
75	k	107	10	15	0.11578947368421053	-0.01702627046568964	0.06896753001856293
76	l	108	10	15	0.07894736842105263	-0.008533496177753713	-0.009255440963035311
77	m	109	10	15	0.14736842105263157	-0.07649870218901086	0.07315881953816834
78	n	110	10	15	0.10526315789473684	-0.056093205755223745	-0.007158726298917865
79	o	111	10	15	0.10526315789473684	-0.021137563394171437	-0.047879764209377736
80	p	112	10	18	0.14210526315789473	-0.06840742529584021	-0.04758011756610682
81	q	113	10	18	0.13157894736842105	-0.03204646170625775	-0.0635452683793558
82	r	114	10	15	0.11052631578947368	-0.04574082787241363	-0.019807355526594406
83	s	115	10	15	0.11052631578947368	-0.03241391905686023	-0.03244084110569578
84	t	116	10	15	0.10526315789473684	-0.04062683787749246	-0.02663153662498061
85	u	117	10	15	0.11578947368421053	-0.05247566733612926	-0.014534546755026788
86	v	118	10	15	0.07894736842105263	-0.028467326616954128	0.02771079229479248
87	w	119	10	15	0.11578947368421053	0.004814605827278569	-0.053999957191229714
88	x	120	10	15	0.07368421052631578	-0.012617451393403903	0.032511810562587465
89	y	121	10	18	0.11052631578947368	-0.005161787022542528	0.0722648119495894
90	z	122	10	15	0.10526315789473684	-0.033948154402772414	-0.0164925953954957
91	{	123	10	19	0.11052631578947368	0.023538202405181625	0.07821315151498277
92	|	124	10	17	0.06842105263157895	0.008113556430913592	0.036358028586108745
93	}	125	10	19	0.11052631578947368	0.0019809930376710025	-0.04877482518255217
94	~	126	10	15	0.03684210526315789	-0.002514957875178622	0.008085396606431037
